Designator,Footprint,Quantity,Value,LCSC Part #
R56,R_0402_1005Metric,1,R,C105637
R2,R_0402_1005Metric,1,10K,
R26,R_0402_1005Metric,1,22R,
J1,USB_C_Receptacle_GT-USB-7010,1,USB_C_Receptacle_USB2.0,
C31,C_0402_1005Metric,1,100n,C147639
C2,C_0402_1005Metric,1,100n,C147639
U2,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
C30,C_0402_1005Metric,1,100n,C147639
U9,SOP-16_4.4x10.4mm_P1.27mm,1,SN74LVC138AQDRQ1,
SW1,SW_SPST_FSMSM,1,BootButton,
R41,R_0402_1005Metric,1,10k,
U10,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
R31,R_0402_1005Metric,1,22R,
C9,C_0402_1005Metric,1,100n,C147639
R10,R_0402_1005Metric,1,22R,
C52,C_0402_1005Metric,1,100n,C147639
C11,C_0402_1005Metric,1,12p,
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det,
U13,SOT-223,1,AZ1117-3.3,
R59,R_0402_1005Metric,1,R,C105637
R5,R_0402_1005Metric,1,22R,
R53,R_0402_1005Metric,1,R,C105637
R15,R_0402_1005Metric,1,22R,
C44,C_0402_1005Metric,1,1u,
C7,C_0402_1005Metric,1,100n,
C18,C_0402_1005Metric,1,100n,C147639
C24,C_0402_1005Metric,1,1u,
Q2,SOT-23,1,FDN340P,C347510
R12,R_0402_1005Metric,1,22R,
C41,C_0402_1005Metric,1,1u,
R19,R_0402_1005Metric,1,10k,
TP3,TestPoint_Pad_D1.0mm,1,TP_MCU2_DIO,
U11,SOT-353_SC-70-5,1,74LVC1G125GW,
R6,R_0402_1005Metric,1,22R,
JP1,SolderJumper-2_Small_Open,1,SolderJumper_2_Open,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,WS2812B-2020
R44,R_0402_1005Metric,1,R,C105637
C50,C_0402_1005Metric,1,100n,C147639
C45,C_0402_1005Metric,1,1u,
R25,R_0402_1005Metric,1,22R,
Q1,SOT-23,1,FDN340P,C347510
R39,R_0402_1005Metric,1,1K,
C57,C_0402_1005Metric,1,100n,C147639
U17,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
C51,C_0402_1005Metric,1,100n,C147639
R4,R_0402_1005Metric,1,22R,
C20,C_0402_1005Metric,1,100n,C147639
C1,C_0402_1005Metric,1,100n,C147639
R27,R_0402_1005Metric,1,22R,
C6,C_0402_1005Metric,1,100n,C147639
R1,R_0402_1005Metric,1,10K,
R58,R_0402_1005Metric,1,R,C105637
C42,C_0402_1005Metric,1,1u,
C13,C_0603_1608Metric,1,10u,
C49,C_0402_1005Metric,1,100n,C147639
C33,C_0402_1005Metric,1,100n,C147639
R18,R_0402_1005Metric,1,5k1,
R36,R_0402_1005Metric,1,22R,
C56,C_0402_1005Metric,1,100n,C147639
C27,C_0402_1005Metric,1,12p,
R13,R_0402_1005Metric,1,22R,
C26,C_0402_1005Metric,1,100n,C147639
R34,R_0402_1005Metric,1,10K,
R3,R_0402_1005Metric,1,100k,
D3,SOT-143,1,DRTR5V0U2SR-7,C443828
R28,R_0402_1005Metric,1,22R,
R47,R_0402_1005Metric,1,R,C105637
C22,C_0402_1005Metric,1,100n,C147639
R46,R_0402_1005Metric,1,R,C105637
R38,R_0402_1005Metric,1,10k,
R52,R_0402_1005Metric,1,R,C105637
R8,R_0402_1005Metric,1,22R,
C21,C_0402_1005Metric,1,1u,
D4,D_SMA,1,D_Small,C22452
C43,C_0402_1005Metric,1,1u,
U3,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
C14,C_0603_1608Metric,1,10u,
R51,R_0402_1005Metric,1,R,C105637
R32,R_0402_1005Metric,1,22R,
JP3,SolderJumper-2_Small_Closed,1,SolderJumper_2_Bridged,
R61,R_0402_1005Metric,1,R,C105637
C29,C_0402_1005Metric,1,100n,C147639
R16,R_0402_1005Metric,1,22R,
C35,C_0402_1005Metric,1,1u,
C48,C_0402_1005Metric,1,100n,C147639
C34,C_0402_1005Metric,1,100n,C147639
C55,C_0402_1005Metric,1,100n,C147639
R7,R_0402_1005Metric,1,22R,
C17,C_0402_1005Metric,1,100n,C147639
R9,R_0402_1005Metric,1,22R,
R49,R_0402_1005Metric,1,R,C105637
R57,R_0402_1005Metric,1,R,C105637
U4,SOP-8_3.76x4.96mm_P1.27mm,1,APS6404L-3SQR,
C23,C_0402_1005Metric,1,100n,C147639
R35,R_0402_1005Metric,1,22R,
R14,R_0402_1005Metric,1,22R,
R60,R_0402_1005Metric,1,R,C105637
R40,R_0402_1005Metric,1,470R,
R22,R_0402_1005Metric,1,22R,
C25,C_0402_1005Metric,1,1u,
C46,C_0402_1005Metric,1,1u,
C53,C_0402_1005Metric,1,100n,C147639
C15,C_0402_1005Metric,1,100n,C147639
R11,R_0402_1005Metric,1,22R,
R55,R_0402_1005Metric,1,R,C105637
R23,R_0402_1005Metric,1,22R,
U14,N64-Connector,1,N64-Cartridge,
J2,PinHeader_2x06_P2.54mm_Vertical_SMD,1,Conn_02x06_Odd_Even,
SW2,SW_SPST_FSMSM,1,ResetButton,
